_page_url	comm_cosupervisors	comm_exam_chair	comm_external_examiner	comm_nonvoting_members	comm_supervisor	comm_voting_members	defence_date	department	student	title	university
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Cheryl Grady	Mu Zhu		Rafal Kustra	Michael Escobar, Radford Neal	Wednesday, June 18, 2014	Dalla Lana School of Public Health	Billy Chang	Kernel Machines Are Not Black Boxes - On The Interpretability Of Kernel-Based Nonparametric Models	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Jaques Belik	Jonathan Maupin		Kenneth Allison	Dionne Gesink, Albert Berry, Liviana Calzavara	Monday, May 26, 2104	Dalla Lana School of Public Health	Emma Richardson	'Uno Tiene Que Cuidar También De Si Mismo': Placing Guatemalan Family Planning Decisions In Context Using Social Cognitive Theory And A Political Economy Approach	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Joe Minta	Riley Hinson		Robert Mann	Susan Bondy, Laura Simich, Liviana Calzavara, Nigel Turner	Friday, May 23, 2104	Dalla Lana School of Public Health	Branka Agic	Alcohol Use And Risk Of Drinking In Ontario Ethnic Groups	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Isabella Caniggia	Stefan Baral	Liviana Calzavara, Robert Remis	Ted Myers	Dan Allman, Donald Cole, Ann Burchell	Monday, April 14, 2104	Dalla Lana School of Public Health	Sylvia Adebajo	Prevalence And Correlates Of Hiv, Hepatitis B, Hepatitis C, Syphilis And Sexual Behaviours Of Men Who Have Sex With Men In Two Cities In Nigeria	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current	Colin Lee	Martha Brown	Gina Ogilvy		Margaret Millson	Susan Bondy, Thomas Wong, Sheilah Hogg-Johnson	Monday, January 20, 2014	Dalla Lana School of Public Health	Gayane Hovhannisyan	Syndromic Management Of Chlamydia And Gonorrhea In Women With Vaginal Discharge At The Public Health Sexual Health And Std Clinics In Hamilton, On	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Geoff Macdonald	Ivy Bourgeault	Curtis Breslin	Cameron Mustard	Linn Holness, Kathryn Nichol, Louise Lemieux-Charles, Emile Tompa	Wednesday, December 11, 2013	Dalla Lana School of Public Health	Andrea Chambers	The Integration Of Safety Engineered Needles In Acute Care Hospitals: Opportunities And Challenges Of Regulated Change	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Hans Michael Dosch	Don Voaklander		Jurgen Rehm	Susan Bondy, George Tomlinson	Friday, November 29, 2013	Dalla Lana School of Public Health	Benjamin Taylor	The Mortality And Morbidity Of Alcohol-Attributable Injury:  How New Dimensions Of Exposure And Relative Risklead To Novel Calculations Of Total Lifetime Risk, Alcohol Attributable Fractions, And A New Analytical Frameworkfor The Burden Of Disease In Canada	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current	Diana Worts	Peter G. Wells	Piet Bracke		Peggy Mcdonough	Arjumand Siddiqi, Flora Matheson, Carles Muntaner	Thursday, October 10, 2013	Dalla Lana School of Public Health	Sarah Brennenstuhl	The Welfare State And Socioeconomic Inequalities In Women'S Health Dynamics: A Comparative Study Of Four Oecd Countries	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Frances Skinner	Harvey Chochinov	Mary Vachon	Ross Upshur	Ann Robertson, Wayne Sumner, Merrijoy Kelner, Elizabeth Peter	Friday, September 20, 2013	Dalla Lana School of Public Health	Victor Cellarius	A Conceptual Analysis Of Canadian Palliative Care Ethics	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Amy Caudy	Edward H. Yelin		Monique Gignac	Elizabeth Badley, Dorcas Beaton, Ted Myers, Stephanie Nixon	Wednesday, September 11, 2013	Dalla Lana School of Public Health	Arif Jetha	Early Employment Experiences Of Canadian Young Adults Living With Systematic Lupus Erythematosus, Juvenile Arthritis And Spinal Cord Injury	University of Toronto	
